school,sex,age,address,aggregated_notation,studytime,absences,Dalc,Medu,Fedu,health,famrel
GP,Masculin,16,Ville,11.33,Moins de 2h,0,2,aucun,baccalauréat,5,4
GP,Masculin,18,Ville,7.33,Moins de 2h,8,2,bac à bac+2,baccalauréat,5,4
GP,Masculin,16,Ville,10.0,2 à 5 heures,4,1,bac à bac+2,bac à bac+2,2,5
GP,Masculin,18,Ville,7.0,Moins de 2h,4,2,baccalauréat,brevet,5,3
GP,Masculin,16,Campagne,13.0,Moins de 2h,2,1,baccalauréat,brevet,3,3
GP,Masculin,17,Campagne,12.33,Moins de 2h,0,2,baccalauréat,brevet,5,4
GP,Masculin,17,Ville,9.67,Moins de 2h,0,1,brevet,brevet,5,4
GP,Féminin,18,Ville,12.33,2 à 5 heures,2,1,baccalauréat,brevet,5,4
GP,Féminin,17,Ville,15.33,Plus de 10h,2,1,bac +3 et plus,baccalauréat,4,4
GP,Féminin,19,Ville,10.33,2 à 5 heures,0,1,baccalauréat,baccalauréat,5,4
GP,Masculin,18,Ville,10.67,2 à 5 heures,4,4,baccalauréat,brevet,5,4
GP,Féminin,17,Campagne,12.33,5 à 10 heures,2,1,bac +3 et plus,baccalauréat,5,4
GP,Féminin,18,Ville,12.33,5 à 10 heures,4,2,brevet,brevet,3,4
GP,Féminin,18,Campagne,11.67,2 à 5 heures,4,1,baccalauréat,baccalauréat,5,3
GP,Masculin,19,Ville,12.67,2 à 5 heures,4,1,bac +3 et plus,bac à bac+2,1,4
GP,Masculin,18,Ville,16.0,2 à 5 heures,2,1,baccalauréat,brevet,4,5
GP,Masculin,17,Campagne,9.67,Moins de 2h,0,1,baccalauréat,baccalauréat,4,5
GP,Féminin,17,Ville,11.0,Plus de 10h,2,1,baccalauréat,baccalauréat,2,3
GP,Féminin,20,Campagne,11.33,2 à 5 heures,8,1,baccalauréat,brevet,2,1
GP,Féminin,18,Ville,15.0,2 à 5 heures,2,1,bac +3 et plus,bac à bac+2,2,3
GP,Masculin,18,Ville,10.33,2 à 5 heures,2,1,bac +3 et plus,bac à bac+2,3,4
GP,Masculin,18,Campagne,11.0,5 à 10 heures,2,1,bac à bac+2,baccalauréat,3,5
GP,Féminin,17,Ville,13.33,5 à 10 heures,2,1,bac à bac+2,bac à bac+2,4,3
GP,Féminin,18,Ville,12.0,5 à 10 heures,0,1,baccalauréat,baccalauréat,3,4
GP,Masculin,17,Ville,8.33,Moins de 2h,8,2,baccalauréat,baccalauréat,4,4
GP,Masculin,18,Campagne,15.67,2 à 5 heures,6,3,bac à bac+2,bac +3 et plus,1,4
GP,Masculin,17,Ville,12.0,2 à 5 heures,0,3,bac à bac+2,brevet,5,5
GP,Féminin,18,Campagne,11.0,2 à 5 heures,8,2,bac +3 et plus,bac +3 et plus,4,4
GP,Masculin,18,Ville,12.0,2 à 5 heures,4,1,bac +3 et plus,baccalauréat,5,5
GP,Féminin,18,Campagne,9.0,2 à 5 heures,12,1,baccalauréat,brevet,3,4
GP,Féminin,19,Ville,11.67,2 à 5 heures,16,3,bac à bac+2,bac à bac+2,5,4
GP,Féminin,18,Ville,16.0,Plus de 10h,10,1,baccalauréat,bac à bac+2,2,4
GP,Féminin,18,Ville,13.0,2 à 5 heures,2,1,brevet,brevet,3,4
GP,Masculin,17,Campagne,17.0,2 à 5 heures,2,2,brevet,baccalauréat,1,3
GP,Féminin,18,Ville,14.33,2 à 5 heures,8,1,baccalauréat,brevet,1,4
GP,Féminin,17,Ville,15.67,2 à 5 heures,6,1,baccalauréat,bac +3 et plus,1,4
GP,Féminin,17,Ville,12.0,2 à 5 heures,6,2,baccalauréat,baccalauréat,5,4
GP,Féminin,18,Campagne,10.33,2 à 5 heures,15,1,bac à bac+2,baccalauréat,5,4
GP,Masculin,18,Ville,11.67,Moins de 2h,6,1,bac +3 et plus,bac +3 et plus,3,3
GP,Féminin,18,Ville,13.0,2 à 5 heures,2,1,bac +3 et plus,bac +3 et plus,4,2
GP,Féminin,17,Ville,14.33,5 à 10 heures,8,1,baccalauréat,baccalauréat,1,4
GP,Féminin,19,Campagne,9.0,2 à 5 heures,0,4,bac à bac+2,baccalauréat,3,3
GP,Masculin,18,Ville,10.0,Moins de 2h,0,1,bac +3 et plus,bac à bac+2,1,4
GP,Masculin,18,Ville,10.33,Moins de 2h,10,2,brevet,baccalauréat,4,3
GP,Masculin,17,Ville,10.67,Moins de 2h,22,2,bac +3 et plus,brevet,5,4
GP,Masculin,17,Ville,13.0,Moins de 2h,18,3,bac à bac+2,baccalauréat,3,4
GP,Féminin,18,Campagne,17.33,Plus de 10h,2,1,brevet,brevet,3,5
GP,Féminin,18,Ville,12.67,2 à 5 heures,0,1,brevet,brevet,4,5
GP,Féminin,17,Ville,12.67,2 à 5 heures,12,1,baccalauréat,baccalauréat,5,5
GP,Féminin,18,Ville,13.0,2 à 5 heures,10,1,baccalauréat,brevet,5,4
GP,Masculin,17,Ville,12.0,2 à 5 heures,0,1,brevet,brevet,4,4
GP,Féminin,18,Ville,18.0,5 à 10 heures,0,1,baccalauréat,baccalauréat,2,4
GP,Féminin,17,Ville,13.33,5 à 10 heures,0,1,brevet,brevet,3,4
GP,Masculin,18,Ville,14.67,5 à 10 heures,0,1,baccalauréat,brevet,2,4
GP,Masculin,18,Ville,17.0,2 à 5 heures,0,1,bac +3 et plus,bac +3 et plus,2,5
GP,Masculin,18,Ville,15.67,2 à 5 heures,2,1,bac +3 et plus,baccalauréat,5,4
GP,Féminin,17,Ville,17.67,5 à 10 heures,0,1,bac +3 et plus,bac à bac+2,3,4
GP,Féminin,17,Campagne,18.67,Plus de 10h,0,1,bac à bac+2,brevet,3,3
GP,Masculin,18,Campagne,14.67,5 à 10 heures,0,1,bac à bac+2,baccalauréat,4,5
GP,Masculin,17,Ville,14.67,Moins de 2h,0,1,bac à bac+2,bac à bac+2,5,4
GP,Féminin,19,Ville,13.33,2 à 5 heures,2,2,bac +3 et plus,bac +3 et plus,2,2
GP,Féminin,18,Ville,13.67,2 à 5 heures,0,1,bac +3 et plus,bac à bac+2,2,4
GP,Féminin,18,Ville,16.67,Plus de 10h,0,1,bac +3 et plus,bac à bac+2,3,4
GP,Masculin,18,Ville,17.67,Moins de 2h,0,2,bac +3 et plus,bac +3 et plus,1,1
GP,Féminin,18,Ville,14.67,2 à 5 heures,0,1,bac +3 et plus,bac +3 et plus,4,4
GP,Masculin,17,Ville,12.67,Moins de 2h,0,2,bac +3 et plus,bac +3 et plus,5,4
GP,Féminin,17,Campagne,7.33,5 à 10 heures,0,1,bac +3 et plus,bac +3 et plus,5,5
GP,Féminin,17,Ville,16.0,5 à 10 heures,0,1,bac +3 et plus,baccalauréat,3,4
GP,Féminin,17,Ville,18.0,Plus de 10h,0,1,bac à bac+2,baccalauréat,5,5
GP,Masculin,19,Campagne,10.0,5 à 10 heures,0,1,baccalauréat,brevet,5,4
GP,Masculin,20,Ville,14.67,Moins de 2h,0,1,bac à bac+2,baccalauréat,5,5
GP,Masculin,19,Campagne,10.33,2 à 5 heures,0,1,bac à bac+2,bac à bac+2,5,4
GP,Féminin,18,Ville,10.33,2 à 5 heures,2,1,brevet,bac +3 et plus,5,3
GP,Féminin,18,Ville,13.0,2 à 5 heures,2,1,baccalauréat,brevet,1,5
GP,Féminin,17,Ville,12.33,2 à 5 heures,2,1,baccalauréat,bac à bac+2,3,4
GP,Féminin,17,Campagne,16.0,Moins de 2h,2,1,bac +3 et plus,bac +3 et plus,5,4
GP,Féminin,18,Ville,15.33,5 à 10 heures,2,1,bac +3 et plus,bac à bac+2,5,4
GP,Féminin,18,Ville,13.0,Moins de 2h,8,1,bac +3 et plus,bac à bac+2,1,3
GP,Féminin,17,Campagne,15.67,5 à 10 heures,2,2,bac à bac+2,bac +3 et plus,5,4
GP,Féminin,18,Ville,12.33,2 à 5 heures,8,1,bac à bac+2,bac à bac+2,3,4
GP,Masculin,19,Ville,10.33,2 à 5 heures,9,1,bac +3 et plus,baccalauréat,1,5
GP,Féminin,18,Ville,12.0,2 à 5 heures,0,3,bac +3 et plus,bac +3 et plus,5,4
GP,Féminin,18,Ville,12.33,Moins de 2h,4,1,bac à bac+2,bac +3 et plus,1,5
GP,Féminin,17,Ville,15.33,Moins de 2h,2,1,bac +3 et plus,bac +3 et plus,5,5
GP,Féminin,17,Ville,15.33,2 à 5 heures,14,1,bac +3 et plus,bac à bac+2,5,5
GP,Féminin,17,Ville,12.33,2 à 5 heures,0,1,bac à bac+2,bac à bac+2,5,5
GP,Féminin,17,Ville,12.33,2 à 5 heures,2,2,baccalauréat,brevet,2,4
GP,Masculin,18,Ville,9.33,Moins de 2h,2,3,bac +3 et plus,bac +3 et plus,5,4
GP,Féminin,19,Ville,10.33,5 à 10 heures,12,4,brevet,brevet,5,1
GP,Féminin,19,Ville,8.33,2 à 5 heures,2,1,brevet,brevet,4,5
GP,Féminin,18,Ville,10.0,Moins de 2h,2,2,baccalauréat,baccalauréat,5,4
GP,Féminin,17,Ville,13.33,2 à 5 heures,4,1,baccalauréat,baccalauréat,3,4
GP,Féminin,17,Campagne,10.67,5 à 10 heures,0,2,baccalauréat,baccalauréat,3,3
GP,Féminin,17,Ville,17.33,5 à 10 heures,0,2,bac à bac+2,brevet,5,3
GP,Féminin,17,Ville,14.33,5 à 10 heures,0,2,aucun,baccalauréat,2,3
GP,Féminin,18,Ville,14.0,5 à 10 heures,0,1,brevet,brevet,2,4
GP,Masculin,18,Ville,13.33,5 à 10 heures,0,2,bac +3 et plus,bac +3 et plus,3,4
GP,Masculin,17,Ville,17.33,Moins de 2h,0,3,bac à bac+2,bac à bac+2,5,4
GP,Masculin,17,Campagne,10.33,Moins de 2h,2,5,baccalauréat,baccalauréat,4,4
GP,Féminin,17,Ville,12.67,5 à 10 heures,0,1,bac +3 et plus,bac +3 et plus,4,5
GP,Féminin,17,Ville,14.67,5 à 10 heures,4,1,bac +3 et plus,bac +3 et plus,4,4
GP,Féminin,17,Ville,11.33,Moins de 2h,2,2,bac à bac+2,bac à bac+2,5,4
GP,Masculin,18,Ville,11.33,Plus de 10h,0,2,baccalauréat,baccalauréat,5,4
GP,Masculin,19,Campagne,10.33,Moins de 2h,0,2,bac à bac+2,baccalauréat,5,5
GP,Féminin,18,Ville,9.67,2 à 5 heures,2,1,baccalauréat,baccalauréat,2,4
GP,Féminin,17,Campagne,15.0,5 à 10 heures,0,1,baccalauréat,bac +3 et plus,5,4
GP,Masculin,18,Ville,14.67,Moins de 2h,6,1,baccalauréat,baccalauréat,5,5
GP,Féminin,18,Ville,11.0,2 à 5 heures,8,1,bac à bac+2,bac à bac+2,4,5
GP,Féminin,18,Ville,10.33,2 à 5 heures,0,1,baccalauréat,baccalauréat,2,4
GP,Féminin,18,Campagne,13.67,Plus de 10h,6,1,baccalauréat,baccalauréat,4,4
GP,Féminin,17,Ville,12.67,5 à 10 heures,8,1,bac à bac+2,bac +3 et plus,5,4
GP,Féminin,17,Ville,13.33,2 à 5 heures,0,2,bac à bac+2,baccalauréat,2,4
GP,Féminin,18,Ville,14.33,Plus de 10h,4,1,bac à bac+2,bac à bac+2,1,5
GP,Féminin,17,Campagne,14.67,2 à 5 heures,0,2,bac à bac+2,baccalauréat,2,4
GP,Masculin,18,Ville,12.33,2 à 5 heures,0,2,bac +3 et plus,bac +3 et plus,2,4
GP,Masculin,18,Ville,16.33,2 à 5 heures,6,1,bac à bac+2,bac +3 et plus,5,4
GP,Féminin,17,Ville,12.0,2 à 5 heures,18,1,baccalauréat,baccalauréat,4,3
GP,Féminin,18,Ville,12.33,5 à 10 heures,0,1,baccalauréat,bac à bac+2,3,4
GP,Féminin,18,Ville,15.67,5 à 10 heures,4,2,bac à bac+2,baccalauréat,1,5
GP,Masculin,18,Campagne,15.33,5 à 10 heures,4,1,bac +3 et plus,bac à bac+2,4,5
GP,Masculin,18,Ville,13.67,5 à 10 heures,0,2,bac +3 et plus,bac à bac+2,5,5
GP,Féminin,17,Ville,12.0,5 à 10 heures,0,1,bac +3 et plus,bac à bac+2,4,4
GP,Féminin,17,Ville,14.0,2 à 5 heures,10,2,baccalauréat,brevet,1,4
GP,Féminin,17,Ville,14.67,2 à 5 heures,4,2,baccalauréat,brevet,4,4
GP,Féminin,19,Ville,10.67,Moins de 2h,16,3,baccalauréat,bac à bac+2,5,2
GP,Féminin,17,Ville,12.0,Moins de 2h,6,1,bac à bac+2,brevet,3,4
GP,Féminin,21,Ville,11.0,5 à 10 heures,0,1,bac +3 et plus,bac +3 et plus,5,3
GP,Masculin,18,Ville,10.67,2 à 5 heures,11,1,baccalauréat,baccalauréat,3,4
GP,Masculin,18,Ville,14.0,2 à 5 heures,9,1,bac à bac+2,bac +3 et plus,2,4
GP,Féminin,17,Ville,15.67,2 à 5 heures,0,1,baccalauréat,baccalauréat,4,4
GP,Masculin,17,Ville,14.0,5 à 10 heures,2,1,bac +3 et plus,bac +3 et plus,4,4
GP,Féminin,18,Ville,16.0,2 à 5 heures,0,1,bac +3 et plus,baccalauréat,3,4
GP,Masculin,21,Campagne,9.67,2 à 5 heures,21,5,brevet,brevet,4,5
GP,Féminin,20,Campagne,13.67,5 à 10 heures,8,1,brevet,brevet,3,3
GP,Féminin,19,Ville,10.0,Moins de 2h,5,4,bac +3 et plus,bac +3 et plus,5,3
GP,Masculin,17,Ville,17.33,2 à 5 heures,10,1,bac à bac+2,baccalauréat,5,4
GP,Féminin,18,Ville,16.0,5 à 10 heures,5,1,bac à bac+2,baccalauréat,2,4
GP,Masculin,18,Campagne,13.67,Moins de 2h,13,4,baccalauréat,bac à bac+2,4,3
GP,Masculin,19,Ville,9.67,Moins de 2h,10,1,baccalauréat,brevet,4,5
GP,Féminin,18,Ville,16.0,2 à 5 heures,10,1,baccalauréat,baccalauréat,4,4
GP,Féminin,20,Ville,9.33,Moins de 2h,5,1,brevet,aucun,5,5
GP,Féminin,18,Ville,12.0,2 à 5 heures,4,1,bac à bac+2,baccalauréat,1,3
MS,Féminin,16,Ville,10.67,Moins de 2h,11,1,brevet,bac à bac+2,5,4
MS,Féminin,16,Campagne,12.0,2 à 5 heures,0,1,baccalauréat,baccalauréat,5,4
MS,Féminin,15,Campagne,10.0,Moins de 2h,6,1,brevet,brevet,2,4
MS,Féminin,15,Campagne,10.33,Moins de 2h,4,2,bac à bac+2,bac à bac+2,5,5
MS,Féminin,16,Campagne,16.67,2 à 5 heures,0,1,baccalauréat,bac à bac+2,5,4
MS,Féminin,15,Campagne,7.67,Moins de 2h,0,1,baccalauréat,brevet,1,1
MS,Masculin,16,Campagne,10.67,2 à 5 heures,5,1,bac +3 et plus,bac +3 et plus,2,5
MS,Masculin,16,Ville,10.67,5 à 10 heures,0,1,brevet,baccalauréat,5,4
MS,Féminin,17,Campagne,10.0,2 à 5 heures,0,1,bac à bac+2,baccalauréat,5,4
MS,Féminin,17,Campagne,6.33,Moins de 2h,0,2,brevet,brevet,5,5
MS,Féminin,15,Campagne,13.67,Moins de 2h,0,3,bac +3 et plus,bac +3 et plus,5,1
MS,Féminin,16,Ville,10.0,Plus de 10h,4,1,baccalauréat,baccalauréat,1,1
MS,Féminin,15,Campagne,10.0,2 à 5 heures,0,1,brevet,brevet,4,5
MS,Féminin,15,Campagne,7.0,Moins de 2h,4,1,brevet,brevet,2,4
MS,Féminin,16,Campagne,11.67,Moins de 2h,0,1,aucun,baccalauréat,2,3
MS,Féminin,17,Campagne,11.0,Moins de 2h,2,1,baccalauréat,bac à bac+2,3,5
MS,Féminin,15,Campagne,15.33,Moins de 2h,0,1,bac à bac+2,bac à bac+2,4,4
MS,Masculin,16,Ville,2.33,2 à 5 heures,0,4,brevet,brevet,3,5
MS,Masculin,17,Ville,8.67,2 à 5 heures,4,2,brevet,brevet,5,4
MS,Masculin,15,Campagne,13.0,2 à 5 heures,0,1,bac +3 et plus,brevet,2,5
MS,Masculin,15,Campagne,8.0,2 à 5 heures,7,1,bac +3 et plus,brevet,2,5
MS,Masculin,16,Campagne,10.0,2 à 5 heures,4,1,bac à bac+2,bac +3 et plus,5,3
MS,Masculin,15,Campagne,8.33,2 à 5 heures,8,2,brevet,brevet,4,5
MS,Masculin,15,Ville,11.0,2 à 5 heures,0,1,bac à bac+2,bac à bac+2,5,5
MS,Masculin,17,Campagne,9.0,Moins de 2h,8,5,baccalauréat,brevet,3,5
MS,Féminin,16,Campagne,16.33,5 à 10 heures,6,1,bac +3 et plus,bac +3 et plus,4,4
MS,Féminin,15,Campagne,12.33,Moins de 2h,3,1,brevet,baccalauréat,1,5
MS,Féminin,16,Campagne,15.0,2 à 5 heures,2,1,baccalauréat,bac à bac+2,1,4
MS,Masculin,16,Campagne,10.67,2 à 5 heures,0,1,brevet,baccalauréat,5,4
MS,Féminin,16,Campagne,10.0,2 à 5 heures,4,1,baccalauréat,baccalauréat,4,4
MS,Féminin,16,Ville,8.67,5 à 10 heures,0,1,brevet,baccalauréat,4,1
MS,Féminin,16,Ville,8.33,5 à 10 heures,3,1,brevet,baccalauréat,4,1
MS,Féminin,15,Ville,9.33,2 à 5 heures,0,3,baccalauréat,brevet,2,4
MS,Féminin,16,Ville,14.0,2 à 5 heures,0,2,brevet,brevet,2,5
MS,Masculin,17,Campagne,10.67,Moins de 2h,4,5,brevet,baccalauréat,3,5
MS,Féminin,16,Campagne,12.0,Plus de 10h,0,1,brevet,brevet,1,4
MS,Féminin,16,Campagne,9.67,5 à 10 heures,2,1,brevet,brevet,5,4
MS,Féminin,15,Campagne,10.67,2 à 5 heures,1,1,brevet,brevet,2,4
MS,Féminin,16,Campagne,13.0,Moins de 2h,0,4,brevet,brevet,2,4
MS,Féminin,15,Campagne,13.67,2 à 5 heures,0,1,brevet,brevet,2,4
MS,Féminin,15,Campagne,12.33,5 à 10 heures,2,2,baccalauréat,baccalauréat,5,4
MS,Masculin,16,Campagne,11.0,Moins de 2h,6,3,brevet,brevet,5,3
MS,Féminin,18,Ville,8.33,2 à 5 heures,9,2,brevet,baccalauréat,5,3
MS,Masculin,15,Ville,10.0,Moins de 2h,0,1,bac à bac+2,brevet,4,3
MS,Féminin,16,Campagne,13.67,2 à 5 heures,1,1,baccalauréat,baccalauréat,2,5
MS,Masculin,15,Ville,12.67,Moins de 2h,1,1,baccalauréat,baccalauréat,4,4
MS,Masculin,16,Ville,12.67,2 à 5 heures,0,1,bac +3 et plus,bac +3 et plus,3,4
MS,Féminin,15,Campagne,12.33,2 à 5 heures,4,1,bac à bac+2,bac à bac+2,1,4
MS,Féminin,16,Campagne,11.67,2 à 5 heures,2,2,baccalauréat,baccalauréat,5,4
MS,Féminin,16,Campagne,14.67,Moins de 2h,0,1,baccalauréat,baccalauréat,4,4
MS,Masculin,16,Ville,9.33,Moins de 2h,4,2,baccalauréat,brevet,4,2
MS,Masculin,15,Campagne,10.67,Moins de 2h,2,3,brevet,bac à bac+2,3,4
MS,Féminin,15,Ville,13.0,5 à 10 heures,0,1,baccalauréat,baccalauréat,4,5
MS,Féminin,16,Campagne,8.67,Moins de 2h,2,1,baccalauréat,brevet,5,5
MS,Masculin,15,Ville,11.0,Moins de 2h,11,2,bac à bac+2,bac à bac+2,3,4
MS,Féminin,16,Campagne,7.33,2 à 5 heures,0,1,brevet,brevet,1,3
MS,Féminin,17,Ville,9.33,Moins de 2h,4,1,baccalauréat,baccalauréat,5,4
MS,Féminin,19,Ville,9.33,Moins de 2h,0,1,baccalauréat,bac à bac+2,2,4
MS,Féminin,17,Campagne,10.0,Moins de 2h,2,1,baccalauréat,brevet,3,5
MS,Féminin,15,Campagne,9.33,Moins de 2h,0,1,brevet,brevet,4,5
MS,Féminin,16,Campagne,10.0,2 à 5 heures,1,1,baccalauréat,baccalauréat,1,3
MS,Féminin,16,Ville,7.33,Moins de 2h,6,1,baccalauréat,baccalauréat,1,4
MS,Féminin,17,Campagne,10.67,2 à 5 heures,0,1,baccalauréat,baccalauréat,4,4
MS,Féminin,16,Ville,9.67,Moins de 2h,1,1,baccalauréat,baccalauréat,3,4
MS,Féminin,18,Campagne,8.67,5 à 10 heures,6,1,bac à bac+2,baccalauréat,2,3
MS,Féminin,19,Ville,8.33,5 à 10 heures,6,1,brevet,brevet,3,5
MS,Masculin,18,Campagne,9.0,Moins de 2h,0,3,brevet,brevet,4,4
MS,Féminin,18,Campagne,10.0,Moins de 2h,4,1,brevet,brevet,2,3
MS,Féminin,19,Ville,8.0,2 à 5 heures,12,4,brevet,brevet,1,1
MS,Féminin,16,Campagne,9.33,2 à 5 heures,2,1,baccalauréat,baccalauréat,3,3
MS,Féminin,17,Ville,9.33,Moins de 2h,5,3,aucun,brevet,5,2
MS,Féminin,16,Campagne,8.67,2 à 5 heures,0,1,brevet,baccalauréat,3,4
MS,Féminin,16,Ville,13.33,Moins de 2h,0,1,bac à bac+2,bac à bac+2,4,4
MS,Féminin,16,Campagne,14.0,Moins de 2h,2,2,brevet,brevet,4,4
MS,Masculin,17,Ville,10.33,Plus de 10h,0,3,bac à bac+2,bac à bac+2,5,5
MS,Féminin,16,Ville,13.67,2 à 5 heures,0,1,baccalauréat,brevet,1,5
MS,Féminin,16,Ville,16.33,Moins de 2h,0,1,baccalauréat,baccalauréat,5,4
MS,Masculin,17,Ville,6.67,Moins de 2h,12,5,brevet,baccalauréat,1,5
MS,Masculin,16,Ville,13.0,Moins de 2h,8,1,bac +3 et plus,bac à bac+2,5,4
MS,Masculin,17,Campagne,9.0,Plus de 10h,2,3,baccalauréat,baccalauréat,3,1
MS,Féminin,16,Ville,14.0,Plus de 10h,0,1,brevet,brevet,5,2
MS,Féminin,19,Ville,12.67,5 à 10 heures,0,1,baccalauréat,baccalauréat,1,5
MS,Féminin,17,Campagne,11.0,Moins de 2h,0,1,brevet,brevet,5,4
MS,Féminin,20,Ville,10.0,2 à 5 heures,8,2,bac à bac+2,bac à bac+2,3,3
MS,Féminin,17,Ville,10.67,5 à 10 heures,0,1,brevet,brevet,3,4
MS,Masculin,17,Campagne,9.33,Moins de 2h,0,1,baccalauréat,baccalauréat,5,4
MS,Féminin,16,Campagne,17.0,2 à 5 heures,0,1,brevet,brevet,1,5
MS,Féminin,17,Campagne,16.33,2 à 5 heures,0,1,baccalauréat,baccalauréat,1,5
MS,Féminin,17,Ville,10.0,2 à 5 heures,1,1,brevet,aucun,4,4
MS,Féminin,18,Campagne,7.0,2 à 5 heures,9,1,brevet,brevet,5,4
MS,Féminin,16,Ville,7.33,Moins de 2h,0,1,bac à bac+2,brevet,1,3
MS,Féminin,16,Ville,6.67,Moins de 2h,2,1,bac à bac+2,baccalauréat,3,3
MS,Féminin,18,Ville,9.0,2 à 5 heures,8,1,brevet,brevet,3,2
MS,Féminin,16,Campagne,15.33,2 à 5 heures,0,2,bac +3 et plus,bac +3 et plus,2,4
MS,Féminin,16,Campagne,14.33,Moins de 2h,0,1,brevet,baccalauréat,2,5
MS,Féminin,18,Ville,7.0,2 à 5 heures,8,1,baccalauréat,bac +3 et plus,1,2
MS,Masculin,16,Campagne,5.0,2 à 5 heures,0,1,baccalauréat,brevet,2,5
MS,Féminin,16,Ville,7.33,2 à 5 heures,6,1,brevet,brevet,5,4
MS,Féminin,16,Campagne,9.33,2 à 5 heures,0,1,baccalauréat,bac à bac+2,2,3
MS,Féminin,16,Ville,8.0,2 à 5 heures,4,1,bac +3 et plus,bac +3 et plus,3,4
MS,Masculin,18,Ville,5.67,Plus de 10h,2,5,bac +3 et plus,bac +3 et plus,5,5
MS,Féminin,16,Campagne,8.0,2 à 5 heures,2,1,bac à bac+2,bac +3 et plus,2,4
MS,Masculin,17,Ville,15.0,5 à 10 heures,0,1,bac +3 et plus,bac +3 et plus,5,4
MS,Féminin,17,Campagne,13.67,Moins de 2h,1,1,bac +3 et plus,brevet,5,4
MS,Masculin,16,Ville,9.67,5 à 10 heures,0,2,baccalauréat,baccalauréat,3,5
MS,Féminin,17,Campagne,9.0,Moins de 2h,5,1,baccalauréat,baccalauréat,5,5
MS,Féminin,16,Ville,11.0,Moins de 2h,1,1,bac +3 et plus,bac +3 et plus,5,5
MS,Masculin,17,Ville,8.67,Moins de 2h,8,5,bac à bac+2,bac à bac+2,3,4
MS,Masculin,17,Ville,10.0,2 à 5 heures,0,3,brevet,brevet,1,5
MS,Masculin,16,Ville,8.0,2 à 5 heures,2,1,baccalauréat,brevet,5,4
MS,Féminin,16,Ville,15.0,2 à 5 heures,0,1,baccalauréat,brevet,3,3
MS,Masculin,16,Ville,11.67,Moins de 2h,0,2,bac +3 et plus,bac +3 et plus,5,4
MS,Masculin,15,Campagne,10.0,2 à 5 heures,11,1,brevet,baccalauréat,5,5
MS,Masculin,15,Ville,13.67,Plus de 10h,8,2,baccalauréat,baccalauréat,5,5
MS,Masculin,15,Ville,12.33,Moins de 2h,11,1,baccalauréat,brevet,5,4
MS,Féminin,16,Campagne,11.0,5 à 10 heures,2,2,baccalauréat,baccalauréat,5,4
MS,Féminin,16,Ville,9.67,2 à 5 heures,8,2,bac +3 et plus,brevet,1,1
MS,Féminin,17,Ville,10.33,Moins de 2h,5,2,bac à bac+2,baccalauréat,1,4
MS,Féminin,17,Campagne,10.33,2 à 5 heures,0,1,baccalauréat,baccalauréat,5,5
MS,Féminin,16,Ville,11.0,5 à 10 heures,1,1,bac +3 et plus,bac +3 et plus,5,5
MS,Masculin,17,Campagne,8.67,Moins de 2h,2,1,bac +3 et plus,bac +3 et plus,5,3
MS,Masculin,17,Campagne,11.67,Moins de 2h,2,3,brevet,bac à bac+2,5,5
MS,Masculin,17,Ville,8.33,2 à 5 heures,8,3,bac à bac+2,bac +3 et plus,5,5
MS,Féminin,17,Ville,14.67,2 à 5 heures,0,1,bac +3 et plus,bac +3 et plus,5,5
MS,Masculin,16,Campagne,10.67,Moins de 2h,0,2,bac +3 et plus,brevet,2,4
MS,Féminin,17,Ville,10.67,2 à 5 heures,2,1,brevet,brevet,3,4
MS,Féminin,17,Campagne,17.67,2 à 5 heures,0,2,bac +3 et plus,baccalauréat,5,4
MS,Masculin,16,Ville,12.67,2 à 5 heures,0,2,baccalauréat,baccalauréat,5,4
MS,Masculin,17,Ville,13.33,2 à 5 heures,0,2,bac à bac+2,baccalauréat,1,4
MS,Masculin,19,Ville,9.33,2 à 5 heures,2,3,brevet,brevet,4,4
MS,Masculin,17,Ville,11.33,Moins de 2h,4,1,brevet,aucun,5,4
MS,Féminin,17,Campagne,10.33,Moins de 2h,3,2,brevet,brevet,4,3
MS,Féminin,16,Campagne,13.33,5 à 10 heures,5,1,brevet,baccalauréat,3,4
MS,Masculin,16,Campagne,10.0,Moins de 2h,4,2,brevet,baccalauréat,5,4
MS,Féminin,17,Campagne,8.67,2 à 5 heures,2,1,bac à bac+2,brevet,5,5
MS,Masculin,17,Campagne,10.33,Moins de 2h,0,3,baccalauréat,baccalauréat,5,5
MS,Masculin,18,Campagne,12.33,Moins de 2h,0,1,brevet,aucun,4,4
MS,Masculin,17,Campagne,9.67,Moins de 2h,0,1,brevet,brevet,2,4
MS,Masculin,18,Ville,9.67,2 à 5 heures,6,1,brevet,brevet,5,4
MS,Féminin,16,Campagne,12.0,2 à 5 heures,0,1,baccalauréat,baccalauréat,1,5
MS,Masculin,17,Ville,2.33,Moins de 2h,0,2,baccalauréat,baccalauréat,5,1
MS,Masculin,16,Campagne,10.0,Moins de 2h,2,2,bac à bac+2,baccalauréat,5,4
MS,Masculin,16,Campagne,9.67,Moins de 2h,0,2,brevet,brevet,5,4
MS,Masculin,18,Campagne,8.33,Moins de 2h,2,2,brevet,brevet,5,5
MS,Masculin,18,Campagne,1.33,Moins de 2h,0,2,bac à bac+2,baccalauréat,5,2
MS,Masculin,19,Ville,8.67,Moins de 2h,4,1,bac à bac+2,baccalauréat,3,3
